link_id,link_name,speed_mph,travel_time_seconds,status,data_as_of_local,age_minutes,lag_minutes,is_stale,borough,owner,length_miles,implied_speed_mph,latitude,longitude,point_count,corridor,road_class,in_region,match_reason,observed_at_utc
4456452,TBB W - FDR S MANHATTAN TRUSS - E116TH STREET,0.0,0.0,-101,2026-09-17T20:43:03.000,202.6,3.1,False,Manhattan,MTA Bridges & Tunnels,1.7717,,40.80151,-73.93066,13,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T04:05:38+00:00
4616329,FDR N 25th - 63rd St,24.23,279.0,0,2026-09-17T20:43:03.000,202.6,3.1,False,Manhattan,NYC_DOT_LIC,0.7315,9.4,40.7423406,-73.97229,12,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T04:05:38+00:00
4616332,FDR S 63rd - 25th St,13.04,511.0,0,2026-09-17T20:43:03.000,202.6,3.1,False,Manhattan,NYC_DOT_LIC,0.9616,6.8,40.7548505,-73.9623,13,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T04:05:38+00:00
4456450,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS,0.0,0.0,-101,2026-09-17T20:43:00.000,202.6,3.1,False,Manhattan,MTA Bridges & Tunnels,9.9847,,40.80143,-73.93084,12,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T04:05:38+00:00
4456510,QMT W Toll Plaza - Manhattan Side,31.68,171.0,0,2026-09-17T20:43:00.000,202.6,3.1,False,Queens,NYC_DOT_LIC,1.1948,25.2,40.745436,-73.96631001,9,Queens-Midtown Tunnel,crossing,True,polyline crosses polygon,2026-09-18T04:05:38+00:00
4456511,QMT E Manhattan Side - Toll Plaza,29.2,185.0,0,2026-09-17T20:43:00.000,202.6,3.1,False,Manhattan,NYC_DOT_LIC,1.1129,21.7,40.745365,-73.96643,11,Queens-Midtown Tunnel,crossing,True,polyline crosses polygon,2026-09-18T04:05:38+00:00
4616328,FDR N Catherine Slip - 25th St,19.26,522.0,-101,2026-09-17T20:42:10.000,203.5,4.0,False,Manhattan,NYC_DOT_LIC,4.7377,32.7,40.7182305,-73.97497,13,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T04:05:38+00:00
4616333,FDR S 25th St - Catherine Slip,22.99,444.0,0,2026-09-17T20:42:10.000,203.5,4.0,False,Manhattan,NYC_DOT_LIC,0.5443,4.4,40.7327304,-73.974281,12,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T04:05:38+00:00
4616342,BKN Bridge Manhattan Side - FDR N Catherine Slip,19.26,133.0,-101,2026-09-17T20:42:10.000,203.5,4.0,False,Manhattan,NYC_DOT_LIC,0.2001,5.4,40.70886,-73.997751,6,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T04:05:38+00:00
4456452,TBB W - FDR S MANHATTAN TRUSS - E116TH STREET,0.0,0.0,-101,2026-09-17T22:28:03.000,151.4,3.1,False,Manhattan,MTA Bridges & Tunnels,1.7717,,40.80151,-73.93066,13,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T04:59:25+00:00
